product_id,product_name,product_category,times_ordered,total_quantity_sold,total_revenue,avg_selling_price
1270,Product_1270,APPLIANCES,53,139,7437399.00,52365.075472
1846,Product_1846,FURNITURE,58,147,7432545.00,50197.327586
3866,Product_3866,CLOTHING,47,127,7424821.00,57401.063830
3757,Product_3757,APPLIANCES,53,145,7410609.00,51730.283019
1539,Product_1539,ELECTRONICS,54,129,7402133.00,56542.203704
2510,Product_2510,CLOTHING,54,136,7393093.00,52539.481481
4467,Product_4467,FURNITURE,55,127,7387048.00,58803.709091
1358,Product_1358,APPLIANCES,53,148,7383617.00,48539.924528
3122,Product_3122,APPLIANCES,46,132,7381456.00,57795.086957
2088,Product_2088,CLOTHING,49,123,7364572.00,56938.204082
2506,Product_2506,FURNITURE,49,122,7359527.00,57831.040816
3707,Product_3707,CLOTHING,58,148,7357333.00,52851.551724
1648,Product_1648,FURNITURE,55,125,7341346.00,57149.345455
439,Product_439,APPLIANCES,51,133,7333315.00,54694.882353
2438,Product_2438,CLOTHING,47,129,7322580.00,55989.893617
4258,Product_4258,APPLIANCES,44,121,7321550.00,58052.659091
2866,Product_2866,ELECTRONICS,54,147,7319107.00,48256.481481
3654,Product_3654,APPLIANCES,52,145,7313632.00,48726.250000
4160,Product_4160,APPLIANCES,49,123,7300439.00,56610.040816
242,Product_242,APPLIANCES,46,127,7293978.00,57451.543478
4122,Product_4122,APPLIANCES,49,131,7293219.00,53371.000000
1782,Product_1782,FURNITURE,54,126,7292742.00,55731.500000
3293,Product_3293,CLOTHING,52,116,7292122.00,55291.057692
1264,Product_1264,CLOTHING,49,125,7286493.00,55769.387755
647,Product_647,APPLIANCES,48,140,7286100.00,51079.854167
793,Product_793,ELECTRONICS,48,124,7276747.00,55025.541667
958,Product_958,FURNITURE,53,140,7274795.00,51871.150943
2341,Product_2341,APPLIANCES,50,133,7273735.00,53205.060000
2038,Product_2038,CLOTHING,50,136,7270872.00,53611.240000
855,Product_855,FURNITURE,56,143,7269480.00,48965.053571
741,Product_741,ELECTRONICS,53,128,7263073.00,55333.735849
3294,Product_3294,ELECTRONICS,51,123,7261182.00,57921.254902
4508,Product_4508,ELECTRONICS,50,136,7258051.00,55275.260000
779,Product_779,APPLIANCES,55,145,7254224.00,50094.854545
494,Product_494,ELECTRONICS,48,135,7249696.00,51673.104167
2881,Product_2881,FURNITURE,55,148,7243341.00,48323.090909
3712,Product_3712,CLOTHING,46,129,7240127.00,56104.913043
48,Product_48,CLOTHING,53,133,7229552.00,50954.830189
3680,Product_3680,FURNITURE,48,132,7226141.00,55827.375000
685,Product_685,APPLIANCES,49,124,7220320.00,56918.224490
2504,Product_2504,FURNITURE,48,128,7214193.00,55799.625000
3017,Product_3017,FURNITURE,56,135,7214040.00,52781.196429
4069,Product_4069,FURNITURE,55,145,7208665.00,46536.400000
945,Product_945,CLOTHING,48,123,7208435.00,57246.500000
2496,Product_2496,CLOTHING,49,136,7205129.00,53659.306122
3384,Product_3384,CLOTHING,48,129,7197651.00,53900.687500
274,Product_274,ELECTRONICS,58,144,7193894.00,52402.327586
268,Product_268,APPLIANCES,45,122,7191911.00,58306.155556
1801,Product_1801,FURNITURE,51,131,7175864.00,52093.764706
2714,Product_2714,APPLIANCES,49,136,7175040.00,51938.653061
3038,Product_3038,FURNITURE,49,128,7168084.00,54797.653061
3143,Product_3143,FURNITURE,49,119,7167902.00,56375.244898
2500,Product_2500,CLOTHING,49,124,7159319.00,55699.244898
1618,Product_1618,ELECTRONICS,46,129,7157754.00,53950.021739
572,Product_572,CLOTHING,48,126,7157251.00,54527.895833
4599,Product_4599,APPLIANCES,50,131,7156315.00,54349.600000
3391,Product_3391,FURNITURE,53,143,7152338.00,52305.113208
3774,Product_3774,CLOTHING,57,143,7144361.00,47412.491228
4413,Product_4413,APPLIANCES,58,142,7139816.00,49330.068966
3413,Product_3413,CLOTHING,46,125,7131420.00,56703.695652
1276,Product_1276,CLOTHING,55,146,7125120.00,48536.727273
1555,Product_1555,ELECTRONICS,52,132,7122007.00,50149.480769
2483,Product_2483,APPLIANCES,50,124,7120863.00,57649.880000
493,Product_493,FURNITURE,43,133,7111874.00,54381.372093
791,Product_791,ELECTRONICS,48,129,7111730.00,55445.541667
2319,Product_2319,CLOTHING,46,118,7099062.00,58559.195652
725,Product_725,FURNITURE,50,135,7092048.00,53775.380000
153,Product_153,CLOTHING,53,135,7091929.00,48848.358491
1625,Product_1625,APPLIANCES,54,134,7089679.00,53047.425926
2514,Product_2514,FURNITURE,52,139,7089213.00,52214.153846
259,Product_259,ELECTRONICS,54,140,7077136.00,52899.111111
1033,Product_1033,CLOTHING,48,131,7073045.00,52458.687500
3495,Product_3495,FURNITURE,50,132,7072696.00,54036.320000
4462,Product_4462,CLOTHING,50,127,7070555.00,53341.620000
3044,Product_3044,ELECTRONICS,53,128,7067868.00,54978.886792
3139,Product_3139,APPLIANCES,58,146,7065269.00,51305.189655
1505,Product_1505,FURNITURE,46,122,7060978.00,58534.347826
211,Product_211,ELECTRONICS,47,123,7058610.00,56371.638298
2229,Product_2229,ELECTRONICS,49,125,7054318.00,51542.897959
2600,Product_2600,ELECTRONICS,51,125,7053922.00,58255.607843
3105,Product_3105,CLOTHING,50,126,7049155.00,54058.080000
2901,Product_2901,CLOTHING,45,127,7048503.00,54386.088889
2967,Product_2967,APPLIANCES,49,124,7045715.00,57409.612245
3123,Product_3123,APPLIANCES,61,142,7045573.00,45878.295082
458,Product_458,ELECTRONICS,52,139,7043791.00,50511.980769
1878,Product_1878,ELECTRONICS,44,120,7039537.00,57013.568182
219,Product_219,FURNITURE,47,131,7037081.00,53281.170213
3127,Product_3127,ELECTRONICS,53,139,7036605.00,50408.648148
3982,Product_3982,APPLIANCES,47,123,7033549.00,54436.617021
294,Product_294,APPLIANCES,43,109,7029902.00,62138.883721
4076,Product_4076,APPLIANCES,48,127,7016830.00,55626.291667
856,Product_856,ELECTRONICS,49,133,7009938.00,51702.387755
4951,Product_4951,APPLIANCES,51,118,7009386.00,57545.411765
3695,Product_3695,ELECTRONICS,50,129,7007199.00,56279.180000
217,Product_217,CLOTHING,49,134,7005298.00,51251.000000
615,Product_615,ELECTRONICS,58,139,7004468.00,48301.258621
3427,Product_3427,ELECTRONICS,46,130,7003246.00,53660.478261
487,Product_487,FURNITURE,50,139,6998884.00,51505.640000
3731,Product_3731,APPLIANCES,52,128,6997422.00,53118.442308
3539,Product_3539,FURNITURE,45,126,6988420.00,54407.977778
279,Product_279,ELECTRONICS,47,138,6985973.00,53104.957447
1733,Product_1733,ELECTRONICS,47,127,6980524.00,56031.468085
455,Product_455,FURNITURE,46,115,6975390.00,58915.456522
2794,Product_2794,ELECTRONICS,46,129,6967391.00,52000.173913
1356,Product_1356,APPLIANCES,51,126,6964146.00,52580.078431
348,Product_348,APPLIANCES,44,122,6958437.00,55948.500000
51,Product_51,APPLIANCES,45,124,6957392.00,53973.933333
1493,Product_1493,ELECTRONICS,48,134,6953493.00,48836.333333
798,Product_798,FURNITURE,48,127,6951821.00,55052.583333
3113,Product_3113,APPLIANCES,47,132,6950596.00,50444.680851
2976,Product_2976,ELECTRONICS,49,129,6950335.00,52218.020408
2838,Product_2838,FURNITURE,45,128,6938464.00,52458.155556
3615,Product_3615,ELECTRONICS,48,126,6937827.00,54763.000000
2553,Product_2553,ELECTRONICS,52,135,6935154.00,49526.884615
2136,Product_2136,ELECTRONICS,52,144,6928604.00,47788.423077
1374,Product_1374,FURNITURE,55,135,6926905.00,50619.418182
466,Product_466,FURNITURE,51,135,6917172.00,47707.862745
1968,Product_1968,CLOTHING,51,128,6912536.00,53189.725490
3098,Product_3098,CLOTHING,47,137,6906529.00,49900.127660
1294,Product_1294,CLOTHING,41,112,6903677.00,60434.414634
944,Product_944,ELECTRONICS,48,128,6901014.00,52772.020833
4092,Product_4092,APPLIANCES,54,135,6899473.00,48596.259259
410,Product_410,APPLIANCES,55,152,6898360.00,46619.545455
282,Product_282,CLOTHING,50,138,6897631.00,49750.620000
2250,Product_2250,CLOTHING,51,144,6896315.00,49003.557692
4292,Product_4292,FURNITURE,47,136,6890983.00,52621.617021
356,Product_356,CLOTHING,49,120,6884628.00,57181.469388
4232,Product_4232,ELECTRONICS,47,119,6871153.00,57013.340426
146,Product_146,CLOTHING,53,123,6871143.00,54006.830189
538,Product_538,FURNITURE,50,124,6871140.00,54171.600000
103,Product_103,CLOTHING,39,107,6869550.00,59662.384615
3516,Product_3516,APPLIANCES,48,124,6868077.00,54894.208333
4960,Product_4960,CLOTHING,50,132,6866025.00,50680.640000
1656,Product_1656,APPLIANCES,50,133,6864391.00,51592.020000
459,Product_459,ELECTRONICS,48,121,6860778.00,56260.625000
2956,Product_2956,CLOTHING,55,137,6859650.00,48629.745455
4148,Product_4148,CLOTHING,46,125,6858907.00,55578.043478
3568,Product_3568,CLOTHING,53,143,6858478.00,45957.132075
1920,Product_1920,APPLIANCES,50,133,6856482.00,51278.820000
2725,Product_2725,FURNITURE,47,123,6855260.00,55254.085106
2536,Product_2536,CLOTHING,45,119,6853768.00,54976.111111
1576,Product_1576,FURNITURE,50,125,6852427.00,55226.320000
2856,Product_2856,ELECTRONICS,46,119,6848491.00,57641.673913
4470,Product_4470,CLOTHING,51,131,6838392.00,51211.725490
754,Product_754,FURNITURE,46,126,6831695.00,54491.978261
2226,Product_2226,APPLIANCES,45,115,6830818.00,60142.866667
4014,Product_4014,CLOTHING,51,136,6827588.00,48209.960784
1745,Product_1745,ELECTRONICS,47,114,6826236.00,56847.276596
3964,Product_3964,APPLIANCES,49,124,6816317.00,53573.163265
3833,Product_3833,CLOTHING,52,133,6814375.00,48578.961538
4181,Product_4181,ELECTRONICS,44,119,6812472.00,55622.454545
3829,Product_3829,ELECTRONICS,42,117,6811419.00,57656.714286
2211,Product_2211,APPLIANCES,42,109,6806950.00,60375.476190
4290,Product_4290,ELECTRONICS,47,118,6802045.00,55051.148936
4980,Product_4980,FURNITURE,43,114,6800831.00,57531.139535
107,Product_107,FURNITURE,45,119,6800690.00,53083.044444
315,Product_315,ELECTRONICS,46,123,6799838.00,53754.826087
2919,Product_2919,CLOTHING,53,133,6797116.00,50380.094340
4429,Product_4429,ELECTRONICS,41,124,6792412.00,55233.292683
1838,Product_1838,ELECTRONICS,43,133,6788484.00,53303.186047
3238,Product_3238,FURNITURE,47,124,6782797.00,52550.382979
2019,Product_2019,ELECTRONICS,52,128,6781551.00,51738.538462
2207,Product_2207,APPLIANCES,44,124,6781054.00,53425.454545
3930,Product_3930,FURNITURE,52,124,6780171.00,53453.596154
3327,Product_3327,APPLIANCES,54,131,6778039.00,52406.907407
3696,Product_3696,FURNITURE,44,113,6774113.00,60645.022727
490,Product_490,CLOTHING,48,124,6773759.00,52173.604167
2605,Product_2605,CLOTHING,51,132,6771446.00,51415.960784
2750,Product_2750,FURNITURE,51,143,6769219.00,47418.137255
4078,Product_4078,CLOTHING,46,125,6764803.00,51552.934783
4246,Product_4246,APPLIANCES,46,111,6764718.00,57542.695652
4771,Product_4771,CLOTHING,54,121,6761933.00,55308.870370
979,Product_979,CLOTHING,57,139,6761572.00,49823.526316
2986,Product_2986,APPLIANCES,49,140,6760270.00,48110.857143
978,Product_978,FURNITURE,49,132,6759229.00,51126.469388
1052,Product_1052,CLOTHING,46,125,6757735.00,56500.652174
4003,Product_4003,FURNITURE,54,137,6754531.00,50122.870370
4791,Product_4791,ELECTRONICS,41,112,6752941.00,60409.073171
686,Product_686,APPLIANCES,52,150,6751054.00,46860.423077
612,Product_612,FURNITURE,41,120,6750343.00,56583.097561
2943,Product_2943,FURNITURE,48,131,6749840.00,50733.125000
1156,Product_1156,FURNITURE,50,126,6747537.00,55242.060000
3290,Product_3290,ELECTRONICS,43,125,6739592.00,54879.000000
2099,Product_2099,ELECTRONICS,50,137,6736938.00,49655.980000
1173,Product_1173,APPLIANCES,51,139,6736897.00,45317.392157
3434,Product_3434,FURNITURE,46,121,6732835.00,53960.282609
2756,Product_2756,CLOTHING,48,126,6732394.00,53143.145833
1310,Product_1310,ELECTRONICS,48,118,6732079.00,55690.291667
4819,Product_4819,CLOTHING,42,119,6731867.00,56093.523810
1946,Product_1946,FURNITURE,49,122,6731818.00,54268.714286
664,Product_664,FURNITURE,45,132,6729006.00,50416.977778
850,Product_850,CLOTHING,47,115,6725233.00,57168.395833
2638,Product_2638,ELECTRONICS,50,128,6720789.00,45958.140000
3750,Product_3750,APPLIANCES,51,134,6718991.00,51615.450980
3720,Product_3720,CLOTHING,51,124,6718489.00,54146.078431
3798,Product_3798,APPLIANCES,47,119,6712448.00,55561.063830
4909,Product_4909,ELECTRONICS,55,141,6710840.00,47851.927273
840,Product_840,CLOTHING,51,117,6710454.00,57761.764706
1707,Product_1707,FURNITURE,51,133,6707002.00,51017.843137
4041,Product_4041,APPLIANCES,45,113,6706800.00,58261.088889
4465,Product_4465,CLOTHING,43,120,6702786.00,54553.046512
3325,Product_3325,ELECTRONICS,46,125,6700706.00,56539.586957
4172,Product_4172,ELECTRONICS,49,129,6698709.00,49812.326531
2345,Product_2345,APPLIANCES,46,123,6698112.00,56774.717391
2420,Product_2420,CLOTHING,51,126,6693782.00,55866.117647
4316,Product_4316,ELECTRONICS,44,113,6692072.00,57291.863636
2190,Product_2190,APPLIANCES,45,113,6691540.00,56964.377778
1810,Product_1810,ELECTRONICS,51,127,6685533.00,50762.019608
4701,Product_4701,ELECTRONICS,45,132,6685413.00,51013.266667
197,Product_197,APPLIANCES,52,133,6683779.00,51178.519231
4134,Product_4134,FURNITURE,53,138,6680083.00,50222.358491
4911,Product_4911,ELECTRONICS,48,121,6679727.00,54319.479167
3392,Product_3392,FURNITURE,39,113,6677434.00,58273.743590
2687,Product_2687,CLOTHING,51,135,6676191.00,50221.431373
134,Product_134,ELECTRONICS,55,134,6674904.00,49880.890909
1376,Product_1376,FURNITURE,52,128,6674691.00,50112.634615
3823,Product_3823,APPLIANCES,51,139,6668832.00,46353.313725
3147,Product_3147,FURNITURE,48,119,6668387.00,55217.208333
2557,Product_2557,APPLIANCES,49,130,6667377.00,51228.979592
4188,Product_4188,CLOTHING,47,120,6664529.00,55495.914894
2766,Product_2766,APPLIANCES,54,139,6662757.00,50587.500000
1722,Product_1722,APPLIANCES,49,129,6659212.00,53073.163265
1134,Product_1134,FURNITURE,41,115,6658469.00,58083.902439
3474,Product_3474,FURNITURE,45,111,6657249.00,56264.355556
3215,Product_3215,APPLIANCES,50,127,6657025.00,52394.020000
3048,Product_3048,FURNITURE,43,117,6656046.00,58630.697674
2424,Product_2424,FURNITURE,55,147,6651256.00,46918.036364
535,Product_535,CLOTHING,40,102,6650664.00,65987.450000
3344,Product_3344,ELECTRONICS,54,136,6649475.00,49877.962963
1044,Product_1044,ELECTRONICS,50,123,6638000.00,56045.140000
3830,Product_3830,FURNITURE,49,140,6637729.00,45412.775510
4927,Product_4927,ELECTRONICS,52,132,6634434.00,47957.057692
1068,Product_1068,APPLIANCES,45,118,6633226.00,56093.844444
4285,Product_4285,ELECTRONICS,46,129,6632926.00,53127.695652
2040,Product_2040,ELECTRONICS,43,118,6627976.00,56230.790698
3175,Product_3175,FURNITURE,40,110,6625566.00,59219.450000
2505,Product_2505,ELECTRONICS,50,123,6624520.00,53314.300000
618,Product_618,APPLIANCES,49,126,6623320.00,54134.244898
1783,Product_1783,APPLIANCES,53,123,6622870.00,51383.792453
1751,Product_1751,FURNITURE,45,115,6616567.00,52442.244444
3192,Product_3192,ELECTRONICS,47,119,6613525.00,52539.191489
270,Product_270,FURNITURE,51,116,6612464.00,54519.098039
1604,Product_1604,FURNITURE,52,133,6612272.00,52515.057692
1083,Product_1083,APPLIANCES,52,125,6610899.00,54341.173077
1858,Product_1858,ELECTRONICS,45,122,6608585.00,54562.600000
2847,Product_2847,FURNITURE,38,107,6606684.00,61504.157895
1315,Product_1315,ELECTRONICS,46,117,6606068.00,56401.608696
3782,Product_3782,APPLIANCES,41,122,6605244.00,56028.804878
2213,Product_2213,APPLIANCES,41,110,6604144.00,57871.500000
3203,Product_3203,CLOTHING,48,133,6600789.00,48049.208333
2400,Product_2400,ELECTRONICS,48,113,6599995.00,60284.333333
2258,Product_2258,FURNITURE,49,120,6598467.00,55129.469388
1307,Product_1307,CLOTHING,45,119,6593347.00,55074.511111
4516,Product_4516,CLOTHING,47,122,6592349.00,53116.404255
3081,Product_3081,FURNITURE,52,139,6591240.00,47586.211538
1084,Product_1084,ELECTRONICS,45,125,6589599.00,54925.022222
3291,Product_3291,CLOTHING,46,128,6586304.00,53625.130435
2489,Product_2489,APPLIANCES,48,124,6585825.00,50940.562500
3978,Product_3978,FURNITURE,48,128,6584398.00,48329.687500
4165,Product_4165,ELECTRONICS,41,109,6584347.00,60979.658537
2452,Product_2452,CLOTHING,49,120,6580215.00,53157.387755
313,Product_313,ELECTRONICS,47,126,6578322.00,53641.425532
1038,Product_1038,APPLIANCES,49,129,6578290.00,50977.142857
4070,Product_4070,APPLIANCES,50,125,6576148.00,52111.980000
4689,Product_4689,CLOTHING,46,120,6572122.00,53854.739130
3120,Product_3120,FURNITURE,50,132,6571700.00,50299.160000
3903,Product_3903,CLOTHING,49,118,6571258.00,54072.510204
4930,Product_4930,ELECTRONICS,50,134,6569826.00,49338.760000
2720,Product_2720,FURNITURE,40,125,6567588.00,52338.500000
4548,Product_4548,FURNITURE,47,124,6566157.00,52702.680851
4983,Product_4983,FURNITURE,50,121,6563144.00,52443.540000
3848,Product_3848,CLOTHING,55,133,6559246.00,47942.763636
3965,Product_3965,FURNITURE,46,123,6558827.00,54540.891304
3095,Product_3095,FURNITURE,48,118,6555319.00,53198.145833
3004,Product_3004,FURNITURE,49,122,6552727.00,52104.959184
1489,Product_1489,ELECTRONICS,48,117,6550006.00,53571.500000
1777,Product_1777,APPLIANCES,51,138,6548808.00,47093.294118
4468,Product_4468,APPLIANCES,50,132,6547774.00,50649.740000
4660,Product_4660,CLOTHING,41,113,6547560.00,57581.780488
1948,Product_1948,CLOTHING,48,125,6546856.00,51037.645833
1731,Product_1731,ELECTRONICS,51,129,6544683.00,48559.196078
2008,Product_2008,CLOTHING,49,128,6543738.00,46995.367347
1971,Product_1971,FURNITURE,53,138,6543107.00,46010.471698
1324,Product_1324,APPLIANCES,40,111,6536103.00,56124.525000
2570,Product_2570,ELECTRONICS,55,128,6535579.00,49524.527273
461,Product_461,ELECTRONICS,50,129,6535455.00,52108.440000
4815,Product_4815,APPLIANCES,44,106,6533253.00,61978.909091
2106,Product_2106,CLOTHING,48,125,6532288.00,52884.770833
1079,Product_1079,FURNITURE,41,107,6529091.00,60554.341463
440,Product_440,CLOTHING,54,132,6524777.00,49621.833333
1999,Product_1999,FURNITURE,37,105,6522352.00,61025.972973
1212,Product_1212,ELECTRONICS,46,113,6517746.00,54590.652174
3069,Product_3069,CLOTHING,46,123,6511868.00,53983.478261
2726,Product_2726,FURNITURE,44,116,6509363.00,53481.272727
3109,Product_3109,APPLIANCES,47,114,6505540.00,56959.787234
4784,Product_4784,FURNITURE,47,119,6504884.00,56971.276596
3825,Product_3825,FURNITURE,47,121,6502590.00,54538.744681
2224,Product_2224,ELECTRONICS,42,112,6501582.00,58704.761905
2887,Product_2887,APPLIANCES,46,122,6501582.00,51264.195652
1848,Product_1848,CLOTHING,47,122,6499556.00,50839.702128
771,Product_771,ELECTRONICS,47,127,6497444.00,49737.042553
4052,Product_4052,CLOTHING,50,130,6497231.00,51960.280000
4904,Product_4904,FURNITURE,51,114,6495433.00,54403.176471
1267,Product_1267,CLOTHING,46,108,6494093.00,58070.369565
3710,Product_3710,APPLIANCES,42,120,6494044.00,55149.162791
4977,Product_4977,FURNITURE,41,111,6493774.00,56380.000000
959,Product_959,FURNITURE,46,113,6493469.00,56006.847826
3987,Product_3987,APPLIANCES,45,113,6492491.00,57059.688889
373,Product_373,FURNITURE,48,121,6490887.00,53342.083333
598,Product_598,ELECTRONICS,47,120,6490151.00,54083.510638
4195,Product_4195,APPLIANCES,44,120,6489953.00,55050.840909
3479,Product_3479,APPLIANCES,46,122,6484490.00,52397.086957
3267,Product_3267,APPLIANCES,47,125,6483636.00,52070.787234
2778,Product_2778,ELECTRONICS,39,111,6482440.00,55908.076923
2981,Product_2981,FURNITURE,51,137,6481006.00,48900.117647
588,Product_588,FURNITURE,48,126,6479395.00,51281.500000
4241,Product_4241,ELECTRONICS,43,118,6477988.00,54121.418605
2704,Product_2704,ELECTRONICS,51,130,6477733.00,48125.294118
1922,Product_1922,APPLIANCES,53,124,6475276.00,51586.283019
105,Product_105,CLOTHING,51,130,6474612.00,49048.215686
510,Product_510,FURNITURE,53,131,6474534.00,50100.754717
1705,Product_1705,ELECTRONICS,42,116,6471323.00,54816.047619
795,Product_795,FURNITURE,44,127,6471167.00,51401.681818
2174,Product_2174,CLOTHING,50,112,6470505.00,58516.720000
80,Product_80,FURNITURE,42,108,6469511.00,62258.261905
2391,Product_2391,ELECTRONICS,46,111,6467208.00,57357.673913
4271,Product_4271,FURNITURE,50,122,6466702.00,53622.540000
4803,Product_4803,FURNITURE,48,121,6462990.00,52252.187500
4685,Product_4685,APPLIANCES,53,135,6461460.00,50584.886792
4907,Product_4907,APPLIANCES,55,128,6459098.00,49702.145455
3472,Product_3472,APPLIANCES,55,129,6456947.00,49818.490909
2950,Product_2950,ELECTRONICS,46,120,6456077.00,51157.521739
173,Product_173,APPLIANCES,41,112,6454732.00,57386.390244
2580,Product_2580,FURNITURE,53,135,6453416.00,47832.584906
1992,Product_1992,CLOTHING,43,112,6450695.00,57619.534884
758,Product_758,CLOTHING,49,117,6450280.00,57501.244898
81,Product_81,CLOTHING,49,120,6448603.00,53475.775510
1077,Product_1077,CLOTHING,53,130,6444140.00,50131.547170
83,Product_83,FURNITURE,42,108,6443286.00,57776.904762
428,Product_428,APPLIANCES,43,121,6441779.00,54695.046512
3410,Product_3410,CLOTHING,48,132,6441658.00,46507.645833
4590,Product_4590,ELECTRONICS,41,108,6439631.00,59351.000000
1041,Product_1041,ELECTRONICS,46,121,6438322.00,54336.217391
3177,Product_3177,APPLIANCES,47,138,6437551.00,48420.468085
4040,Product_4040,APPLIANCES,42,105,6434004.00,56666.642857
4923,Product_4923,ELECTRONICS,43,109,6433379.00,58199.930233
4985,Product_4985,ELECTRONICS,46,115,6432230.00,56476.891304
141,Product_141,ELECTRONICS,51,127,6432166.00,50159.058824
3767,Product_3767,APPLIANCES,49,116,6431562.00,56067.122449
2329,Product_2329,FURNITURE,56,129,6430911.00,48566.732143
2917,Product_2917,APPLIANCES,47,120,6430818.00,55177.574468
2849,Product_2849,APPLIANCES,47,118,6429307.00,51908.489362
449,Product_449,ELECTRONICS,44,109,6426237.00,58280.704545
997,Product_997,ELECTRONICS,48,125,6423676.00,55456.125000
679,Product_679,ELECTRONICS,43,109,6422580.00,57959.837209
568,Product_568,APPLIANCES,50,121,6422429.00,52819.180000
3788,Product_3788,CLOTHING,49,122,6421021.00,49569.857143
341,Product_341,ELECTRONICS,49,121,6420935.00,50251.979592
3880,Product_3880,APPLIANCES,41,114,6420469.00,54891.243902
3386,Product_3386,ELECTRONICS,49,113,6420466.00,57645.224490
3944,Product_3944,APPLIANCES,45,119,6418286.00,54311.260870
2310,Product_2310,ELECTRONICS,48,121,6417821.00,50658.875000
627,Product_627,ELECTRONICS,53,118,6417261.00,51346.207547
3840,Product_3840,FURNITURE,49,126,6417117.00,53276.387755
2637,Product_2637,CLOTHING,47,121,6414547.00,51091.170213
3439,Product_3439,APPLIANCES,48,133,6413031.00,49722.541667
524,Product_524,ELECTRONICS,44,116,6412562.00,53674.386364
1915,Product_1915,ELECTRONICS,47,122,6411704.00,55142.787234
2079,Product_2079,ELECTRONICS,49,134,6410180.00,47747.040816
4969,Product_4969,CLOTHING,41,107,6410024.00,58835.658537
2588,Product_2588,FURNITURE,48,122,6406484.00,49429.666667
